role,category,demand,automation_resistance,skill_depth,strategic_importance,score,salary_low_usd,salary_high_usd,demand_trend,verdict_tier
T3 / tRPC Stack Engineer,Engineering,5,6,7,6,59,110000,270000,rising,stable
Unity XR Developer,Engineering,4,7,8,5,59,100000,250000,stable,stable
Alibaba Cloud Engineer,Platform & Infrastructure,4,7,7,6,59,100000,240000,stable,stable
Block Storage Engineer,Platform & Infrastructure,3,8,8,5,59,110000,270000,stable,stable
CDN Engineer,Platform & Infrastructure,4,7,7,6,59,110000,270000,stable,stable
DuckDB Engineer,Platform & Infrastructure,4,7,7,6,59,110000,270000,rising,stable
DynamoDB Specialist,Platform & Infrastructure,5,6,7,6,59,110000,270000,stable,stable
MongoDB Engineer,Platform & Infrastructure,5,6,7,6,59,100000,260000,stable,stable
Monorepo Engineer (Nx/Turborepo),Platform & Infrastructure,4,7,7,6,59,120000,290000,rising,stable
Object Storage Engineer (S3/MinIO),Platform & Infrastructure,4,7,7,6,59,110000,270000,stable,stable
SQL Server DBA,Platform & Infrastructure,5,6,7,6,59,100000,250000,declining,stable
Service Catalog Engineer,Platform & Infrastructure,4,7,7,6,59,110000,280000,stable,stable
Industrial Designer (hardware-software products),Product & Design,3,8,8,5,59,95000,230000,stable,stable
Service Designer,Product & Design,4,7,7,6,59,100000,240000,stable,stable
Hardware QA Engineer,Quality & Testing,4,7,7,6,59,90000,220000,stable,stable
DAST Engineer,Security,4,7,7,6,59,100000,240000,stable,stable
Windows Security Engineer,Security,4,7,7,6,59,100000,250000,stable,stable
Wireless Pentester,Security,3,8,8,5,59,95000,240000,stable,stable
A/B Testing Engineer,Specialized & Emerging,4,7,7,6,59,110000,270000,stable,stable
SAP HANA Developer,Specialized & Emerging,4,7,7,6,59,110000,260000,stable,stable
AI Trainer / RLHF Annotator,Data & AI,8,5,4,5,58,50000,150000,rising,stable
Active Learning / Labeling Operations Lead,Data & AI,4,7,6,6,58,110000,270000,rising,stable
Head of QA,Engineering Leadership,4,7,6,6,58,150000,320000,declining,stable
Conversational Designer,Product & Design,4,7,6,6,58,100000,240000,rising,stable
Product Operations Manager,Product & Design,4,7,6,6,58,110000,250000,stable,stable
Developer Educator,Specialized & Emerging,4,7,6,6,58,95000,230000,stable,stable
Developer Marketing Engineer,Specialized & Emerging,4,7,6,6,58,110000,260000,stable,stable
Airflow Engineer,Data & AI,5,6,6,6,57,100000,250000,stable,exposed
Analytics Engineer,Data & AI,6,5,6,6,57,90000,220000,stable,exposed
LangChain / LlamaIndex Engineer,Data & AI,6,5,6,6,57,110000,280000,stable,exposed
ASP.NET Engineer,Engineering,5,6,6,6,57,90000,220000,stable,exposed
Flutter Engineer,Engineering,6,5,6,6,57,90000,240000,rising,exposed
Game Build / Pipeline Engineer,Engineering,4,7,7,5,57,90000,230000,stable,exposed
Game Telemetry Engineer,Engineering,4,7,7,5,57,90000,220000,stable,exposed
HarmonyOS Engineer,Engineering,4,7,7,5,57,100000,250000,rising,exposed
IDE Plugin Developer,Engineering,4,7,7,5,57,100000,250000,stable,exposed
Junior Backend Engineer,Engineering,7,5,4,6,57,70000,130000,stable,exposed
MERN Stack Engineer,Engineering,6,5,6,6,57,90000,240000,stable,exposed
Mobile Game Engineer,Engineering,5,6,7,5,57,85000,210000,stable,exposed
NestJS Engineer,Engineering,5,6,6,6,57,90000,230000,rising,exposed
React Native Engineer,Engineering,6,5,6,6,57,90000,240000,stable,exposed
Senior Frontend Engineer,Engineering,6,5,6,6,57,120000,280000,stable,exposed
Unity Engineer,Engineering,5,6,7,5,57,80000,200000,stable,exposed
Deployment Engineer,Platform & Infrastructure,5,6,6,6,57,95000,240000,stable,exposed
Endpoint Management Engineer (Intune/Jamf),Platform & Infrastructure,5,6,6,6,57,95000,230000,stable,exposed
Telecom Software Engineer,Platform & Infrastructure,4,7,7,5,57,95000,230000,stable,exposed
CDP / Customer Data Platform Engineer,Specialized & Emerging,5,6,6,6,57,110000,270000,rising,exposed
Customer Success Engineer,Specialized & Emerging,5,6,6,6,57,95000,240000,stable,exposed
Stripe Integration Engineer,Specialized & Emerging,5,6,6,6,57,100000,250000,stable,exposed
Workflow Automation Engineer,Specialized & Emerging,5,6,6,6,57,95000,240000,rising,exposed
Decision Scientist,Data & AI,4,6,7,6,56,110000,250000,stable,exposed
3D Printing Software Engineer,Engineering,2,8,8,5,56,95000,230000,stable,exposed
Bun.sh Engineer,Engineering,4,6,7,6,56,100000,250000,rising,exposed
COBOL Developer,Engineering,3,7,8,5,56,90000,220000,stable,exposed
IPFS / Filecoin Engineer,Engineering,2,8,8,5,56,110000,280000,stable,exposed
Micronaut Engineer,Engineering,3,7,7,6,56,100000,230000,stable,exposed
Oracle (Chainlink) Engineer,Engineering,2,8,8,5,56,110000,280000,stable,exposed
Unreal XR Developer,Engineering,3,7,8,5,56,100000,260000,stable,exposed
Vyper Developer,Engineering,2,8,8,5,56,100000,280000,stable,exposed
z/OS Engineer,Engineering,2,8,8,5,56,100000,230000,stable,exposed
Onboarding Engineer,Specialized & Emerging,5,6,5,6,56,90000,220000,stable,exposed
Project Manager (Software),Specialized & Emerging,5,6,5,6,56,95000,230000,declining,exposed
Chatbot Engineer,Data & AI,6,5,5,6,55,95000,240000,stable,exposed
Product Data Scientist,Data & AI,5,5,7,6,55,110000,260000,stable,exposed
Cruise / Maritime Software Engineer,Engineering,2,8,7,5,55,95000,230000,stable,exposed
Express.js Engineer,Engineering,6,5,5,6,55,85000,220000,stable,exposed
Internal Tools Engineer,Engineering,6,5,5,6,55,90000,230000,stable,exposed
React Engineer,Engineering,7,4,5,6,55,90000,250000,declining,exposed
SOC Analyst (Tier 2),Security,6,5,5,6,55,80000,180000,stable,exposed
Curriculum Designer (Technical),Specialized & Emerging,3,7,6,6,55,90000,210000,stable,exposed
AdTech Engineer,Engineering,5,5,6,6,54,110000,280000,stable,exposed
Algorand Developer,Engineering,2,8,8,4,54,100000,250000,declining,exposed
Angular Engineer,Engineering,5,5,6,6,54,90000,230000,declining,exposed
Cartography Engineer,Engineering,2,8,8,4,54,90000,220000,stable,exposed
Construction Tech Engineer,Engineering,3,7,7,5,54,95000,240000,rising,exposed
Corda / R3 Engineer,Engineering,2,8,8,4,54,100000,260000,declining,exposed
E-discovery Engineer,Engineering,3,7,7,5,54,100000,240000,stable,exposed
EdTech Engineer,Engineering,4,6,6,6,54,90000,230000,stable,exposed
Flask Engineer,Engineering,5,5,6,6,54,85000,220000,stable,exposed
HR Tech Engineer,Engineering,4,6,6,6,54,95000,230000,stable,exposed
Internationalization (i18n) Engineer,Engineering,4,6,6,6,54,95000,240000,stable,exposed
JetBrains Plugin Developer,Engineering,3,7,7,5,54,100000,240000,stable,exposed
Laravel Engineer,Engineering,5,5,6,6,54,80000,210000,stable,exposed
MarTech Engineer,Engineering,5,5,6,6,54,100000,250000,stable,exposed
Mental Health Tech Engineer,Engineering,4,6,6,6,54,90000,220000,rising,exposed
Middleware Engineer,Engineering,4,6,7,5,54,100000,240000,declining,exposed
Music Tech Engineer,Engineering,3,7,7,5,54,100000,250000,stable,exposed
PHP Backend Engineer,Engineering,5,5,6,6,54,75000,200000,declining,exposed
Real Estate Tech Engineer (Proptech),Engineering,4,6,6,6,54,95000,240000,stable,exposed
Tezos Developer,Engineering,2,8,8,4,54,100000,250000,declining,exposed
Travel Tech Engineer,Engineering,4,6,6,6,54,90000,230000,stable,exposed
Webpack / Vite Specialist,Engineering,4,6,7,5,54,110000,270000,stable,exposed
Hetzner / Bare Metal Specialist,Platform & Infrastructure,3,7,7,5,54,95000,230000,stable,exposed
InfluxDB Engineer,Platform & Infrastructure,3,7,7,5,54,100000,240000,stable,exposed
Linux Sysadmin,Platform & Infrastructure,4,6,7,5,54,85000,200000,stable,exposed
Load Balancer Engineer,Platform & Infrastructure,3,7,7,5,54,95000,230000,stable,exposed
Oracle Cloud Engineer,Platform & Infrastructure,4,6,7,5,54,100000,240000,declining,exposed
TimescaleDB Engineer,Platform & Infrastructure,3,7,7,5,54,100000,250000,stable,exposed
VoIP / SIP Engineer,Platform & Infrastructure,3,7,7,5,54,90000,220000,stable,exposed
Associate Product Manager,Product & Design,6,5,4,6,54,90000,180000,stable,exposed
Information Architect,Product & Design,3,7,7,5,54,95000,230000,stable,exposed
Interaction Designer,Product & Design,4,6,6,6,54,90000,220000,stable,exposed
Marketing Product Manager,Product & Design,4,6,6,6,54,110000,250000,stable,exposed
Senior Content Designer,Product & Design,4,6,6,6,54,100000,230000,stable,exposed
Voice Interface Designer,Product & Design,3,7,7,5,54,95000,220000,stable,exposed
API Test Engineer,Quality & Testing,5,5,6,6,54,90000,220000,stable,exposed
Playwright Engineer,Quality & Testing,5,5,6,6,54,95000,230000,rising,exposed
QA Lead,Quality & Testing,4,6,6,6,54,100000,230000,stable,exposed
Test Data Engineer,Quality & Testing,4,6,6,6,54,95000,220000,stable,exposed
Documentation Engineer,Specialized & Emerging,4,6,6,6,54,90000,220000,stable,exposed
Feature Flag Engineer (LaunchDarkly/Split),Specialized & Emerging,4,6,6,6,54,110000,270000,stable,exposed
SAP ABAP Developer,Specialized & Emerging,4,6,7,5,54,100000,240000,declining,exposed
SAP Basis Administrator,Specialized & Emerging,4,6,7,5,54,100000,240000,declining,exposed
Senior Technical Writer,Specialized & Emerging,4,6,6,6,54,100000,230000,stable,exposed
ServiceNow Developer,Specialized & Emerging,5,5,6,6,54,100000,230000,stable,exposed
IT Manager,Platform & Infrastructure,4,6,5,6,53,100000,230000,stable,exposed
Data Scientist,Data & AI,5,4,7,6,52,100000,250000,declining,exposed
ELT Engineer,Data & AI,5,5,5,6,52,90000,220000,stable,exposed
Frontend Engineer,Engineering,6,4,5,6,52,80000,230000,declining,exposed
Godot Engineer,Engineering,3,7,7,4,52,70000,180000,rising,exposed
VSCode Extension Developer,Engineering,4,6,6,5,52,100000,250000,rising,exposed
Vercel / Netlify Specialist,Platform & Infrastructure,4,6,6,5,52,95000,240000,stable,exposed
3D Designer,Product & Design,3,7,7,4,52,80000,200000,stable,exposed
Test Environment Engineer,Quality & Testing,4,6,6,5,52,95000,220000,stable,exposed
MuleSoft Engineer,Specialized & Emerging,4,6,6,5,52,110000,260000,stable,exposed
Power Platform Developer,Specialized & Emerging,5,5,5,6,52,95000,230000,stable,exposed
Salesforce CPQ Developer,Specialized & Emerging,4,6,6,5,52,100000,230000,stable,exposed
Workday Developer,Specialized & Emerging,4,6,6,5,52,100000,230000,stable,exposed
AS/400 / RPG Developer,Engineering,2,7,8,4,51,85000,200000,declining,exposed
Android TV Engineer,Engineering,3,6,7,5,51,95000,230000,stable,exposed
Crystal Engineer,Engineering,1,8,8,4,51,80000,180000,declining,exposed
D Lang Engineer,Engineering,1,8,8,4,51,80000,180000,declining,exposed
Deno Engineer,Engineering,3,6,7,5,51,95000,230000,stable,exposed
HTMX Engineer,Engineering,4,6,5,5,51,85000,210000,rising,exposed
Nim Engineer,Engineering,1,8,8,4,51,80000,180000,declining,exposed
Wear OS Engineer,Engineering,3,6,7,5,51,95000,230000,stable,exposed
Web Components / Lit Engineer,Engineering,3,6,7,5,51,95000,230000,stable,exposed
Xamarin / .NET MAUI Engineer,Engineering,3,6,7,5,51,95000,230000,declining,exposed
iPadOS Engineer,Engineering,3,6,7,5,51,100000,240000,stable,exposed
watchOS Engineer,Engineering,3,6,7,5,51,100000,240000,stable,exposed
IBM Cloud Engineer,Platform & Infrastructure,3,6,7,5,51,95000,230000,declining,exposed
Community Manager (Technical),Specialized & Emerging,4,6,5,5,51,80000,200000,stable,exposed
Twilio Engineer,Specialized & Emerging,4,6,5,5,51,100000,240000,stable,exposed
Customer Support Engineer,Specialized & Emerging,5,5,5,5,50,70000,170000,stable,exposed
Data Annotation Engineer,Data & AI,5,5,4,5,49,70000,180000,rising,exposed
Scikit-learn Specialist,Data & AI,4,5,6,5,49,95000,230000,stable,exposed
Browser Extension Engineer,Engineering,4,5,6,5,49,90000,230000,stable,exposed
CSS Architect (Sass/Tailwind),Engineering,4,5,6,5,49,90000,220000,stable,exposed
Esports Platform Engineer,Engineering,3,6,6,5,49,90000,220000,stable,exposed
Food Tech Engineer,Engineering,3,6,6,5,49,90000,220000,stable,exposed
Full-Stack Ruby Engineer,Engineering,4,5,6,5,49,90000,230000,declining,exposed
JAMstack Engineer,Engineering,4,5,6,5,49,90000,220000,stable,exposed
JCL Developer,Engineering,2,7,7,4,49,85000,200000,declining,exposed
Junior Android Engineer,Engineering,5,5,4,5,49,65000,125000,stable,exposed
Junior iOS Engineer,Engineering,5,5,4,5,49,70000,130000,stable,exposed
MEAN Stack Engineer,Engineering,4,5,6,5,49,85000,220000,declining,exposed
Remix Engineer,Engineering,4,5,6,5,49,90000,230000,stable,exposed
Sinatra / Hanami Engineer,Engineering,3,6,6,5,49,90000,200000,declining,exposed
Sports Tech Engineer,Engineering,3,6,6,5,49,95000,230000,stable,exposed
Svelte Engineer,Engineering,4,5,6,5,49,90000,220000,rising,exposed
Symfony Engineer,Engineering,4,5,6,5,49,80000,200000,stable,exposed
Tornado Backend Engineer,Engineering,3,6,6,5,49,80000,200000,declining,exposed
Couchbase Engineer,Platform & Infrastructure,2,7,7,4,49,100000,230000,declining,exposed
Fly.io / Render Specialist,Platform & Infrastructure,3,6,6,5,49,95000,230000,stable,exposed
Sysadmin / System Administrator,Platform & Infrastructure,4,5,6,5,49,75000,180000,declining,exposed
Vertica / Teradata Engineer,Platform & Infrastructure,2,7,7,4,49,100000,240000,declining,exposed
Windows Sysadmin,Platform & Infrastructure,4,5,6,5,49,80000,190000,declining,exposed
Apex Developer,Specialized & Emerging,4,5,6,5,49,90000,220000,stable,exposed
Atlassian Developer (Jira/Confluence),Specialized & Emerging,4,5,6,5,49,95000,220000,stable,exposed
Microsoft Dynamics Developer,Specialized & Emerging,4,5,6,5,49,95000,220000,stable,exposed
NetSuite Developer,Specialized & Emerging,4,5,6,5,49,95000,220000,stable,exposed
Release Train Engineer (SAFe),Specialized & Emerging,3,6,6,5,49,100000,230000,declining,exposed
SEO Engineer (Technical),Specialized & Emerging,4,5,6,5,49,90000,230000,stable,exposed
BI Developer,Data & AI,5,4,5,5,47,80000,180000,declining,exposed
Cohere / Mistral API Engineer,Data & AI,4,5,5,5,47,100000,250000,stable,exposed
Statistical Programmer (SAS/R),Data & AI,3,5,7,5,47,85000,210000,declining,exposed
Astro Engineer,Engineering,4,5,5,5,47,85000,210000,rising,exposed
Game UI Programmer,Engineering,4,5,6,4,47,80000,200000,stable,exposed
Junior Full-Stack Engineer,Engineering,6,4,3,5,47,65000,120000,stable,exposed
Localization (l10n) Engineer,Engineering,4,5,5,5,47,85000,210000,stable,exposed
Vue Engineer,Engineering,5,4,5,5,47,85000,220000,stable,exposed
IT Operations Engineer,Platform & Infrastructure,4,5,5,5,47,80000,200000,stable,exposed
M365 / Google Workspace Admin,Platform & Infrastructure,4,5,5,5,47,80000,200000,stable,exposed
Content Designer / UX Writer,Product & Design,4,5,5,5,47,75000,180000,declining,exposed
Motion Designer,Product & Design,3,6,6,4,47,85000,200000,stable,exposed
API Documentation Specialist,Specialized & Emerging,4,5,5,5,47,80000,200000,stable,exposed
Marketing Automation Engineer,Specialized & Emerging,4,5,5,5,47,90000,220000,stable,exposed
Mixpanel / Amplitude / Heap Engineer,Specialized & Emerging,4,5,5,5,47,95000,230000,stable,exposed
Power BI Specialist,Specialized & Emerging,5,4,5,5,47,85000,200000,stable,exposed
RPA Engineer (UiPath/Power Automate),Specialized & Emerging,5,4,5,5,47,80000,200000,stable,exposed
Salesforce Marketing Cloud Developer,Specialized & Emerging,4,5,5,5,47,95000,220000,stable,exposed
Scrum Master / Agile Coach,Specialized & Emerging,4,5,5,5,47,80000,180000,declining,exposed
Segment / Rudderstack Engineer,Specialized & Emerging,4,5,5,5,47,100000,240000,stable,exposed
Shopify App Developer,Specialized & Emerging,4,5,5,5,47,80000,200000,stable,exposed
Technical Writer,Specialized & Emerging,4,5,5,5,47,70000,170000,declining,exposed
SSIS / SQL Server Integration Engineer,Data & AI,3,5,6,5,46,85000,210000,declining,exposed
BPM / Workflow Engineer,Engineering,3,5,6,5,46,95000,220000,stable,exposed
DAO Tooling Engineer,Engineering,2,6,7,4,46,90000,230000,declining,exposed
PWA Engineer,Engineering,3,5,6,5,46,90000,220000,stable,exposed
SolidJS Engineer,Engineering,3,5,6,5,46,90000,220000,rising,exposed
tvOS Engineer,Engineering,2,6,7,4,46,95000,230000,stable,exposed
Oracle ERP Developer,Specialized & Emerging,3,5,6,5,46,95000,220000,declining,exposed
Hadoop Engineer,Data & AI,3,5,7,4,45,95000,230000,declining,exposed
Marketing Data Scientist,Data & AI,4,4,6,5,45,100000,220000,stable,exposed
Senior UI Designer,Product & Design,4,4,6,5,45,95000,220000,declining,exposed
Senior QA Automation,Quality & Testing,4,4,6,5,45,90000,200000,declining,exposed
SOC Analyst (Tier 1),Security,5,4,4,5,45,60000,130000,declining,exposed
Power Apps Developer,Specialized & Emerging,5,4,4,5,45,85000,210000,stable,exposed
Salesforce Administrator,Specialized & Emerging,5,4,4,5,45,75000,170000,stable,exposed
ETL Developer,Data & AI,4,4,5,5,44,80000,200000,declining,exposed
Growth Analyst,Data & AI,4,4,5,5,44,80000,200000,stable,exposed
Informatica Engineer,Data & AI,3,5,6,4,44,90000,210000,declining,exposed
Looker / LookML Developer,Data & AI,4,4,5,5,44,90000,210000,stable,exposed
Product Analyst,Data & AI,4,4,5,5,44,80000,190000,stable,exposed
ESB / Service Bus Engineer,Engineering,3,5,6,4,44,95000,220000,declining,exposed
LAMP Stack Engineer,Engineering,4,4,5,5,44,75000,190000,declining,exposed
Nuxt Engineer,Engineering,4,4,5,5,44,85000,220000,stable,exposed
Restaurant / Hospitality Tech Engineer,Engineering,3,5,5,5,44,80000,210000,stable,exposed
Tizen Engineer,Engineering,2,6,6,4,44,90000,210000,declining,exposed
DigitalOcean Specialist,Platform & Infrastructure,3,5,6,4,44,85000,210000,stable,exposed
Brand Designer,Product & Design,3,5,5,5,44,80000,200000,stable,exposed
Visual Designer,Product & Design,4,4,5,5,44,75000,190000,declining,exposed
Cypress Engineer,Quality & Testing,4,4,5,5,44,85000,200000,stable,exposed
Mobile QA Engineer,Quality & Testing,4,4,5,5,44,75000,180000,stable,exposed
Boomi Engineer,Specialized & Emerging,3,5,6,4,44,100000,230000,stable,exposed
Conversion Rate Optimization Engineer,Specialized & Emerging,3,5,5,5,44,90000,220000,stable,exposed
Magento / Adobe Commerce Developer,Specialized & Emerging,3,5,6,4,44,85000,210000,declining,exposed
SAP Fiori / UI5 Developer,Specialized & Emerging,3,5,6,4,44,95000,220000,stable,exposed
Square / Block Integration Engineer,Specialized & Emerging,3,5,6,4,44,90000,220000,stable,exposed
Junior Frontend Engineer,Engineering,6,3,3,5,43,60000,110000,declining,exposed
Fivetran / Stitch Specialist,Data & AI,3,5,5,4,42,85000,200000,stable,exposed
Admin Panel Engineer,Engineering,4,4,4,5,42,80000,200000,stable,exposed
Fitness / Wellness Tech Engineer,Engineering,3,5,5,4,42,85000,210000,stable,exposed
Ionic / Cordova Engineer,Engineering,3,5,5,4,42,80000,200000,declining,exposed
Perl Engineer,Engineering,2,5,7,4,42,80000,200000,declining,exposed
Collaboration Tools Engineer (Slack/Teams),Platform & Infrastructure,3,5,5,4,42,80000,190000,stable,exposed
Heroku Specialist,Platform & Infrastructure,3,5,5,4,42,80000,200000,declining,exposed
Game QA Lead,Quality & Testing,3,5,5,4,42,70000,170000,stable,exposed
Localization QA Engineer,Quality & Testing,3,5,5,4,42,75000,180000,stable,exposed
BigCommerce Developer,Specialized & Emerging,3,5,5,4,42,85000,200000,stable,exposed
Low-code Developer,Specialized & Emerging,4,4,4,5,42,75000,190000,stable,exposed
SendGrid / Mailgun Engineer,Specialized & Emerging,3,5,5,4,42,90000,210000,stable,exposed
Tray.io / iPaaS Engineer,Specialized & Emerging,3,5,5,4,42,90000,210000,stable,exposed
Workato Engineer,Specialized & Emerging,3,5,5,4,42,90000,220000,stable,exposed
Talend Engineer,Data & AI,2,5,6,4,41,85000,200000,declining,exposed
Ember.js Engineer,Engineering,2,5,6,4,41,85000,210000,declining,exposed
Stencil Engineer,Engineering,2,5,6,4,41,85000,200000,stable,exposed
IT Asset Manager,Platform & Infrastructure,3,5,4,4,41,75000,180000,stable,exposed
Citizen Developer Coach,Specialized & Emerging,3,5,4,4,41,80000,190000,stable,exposed
Make.com / n8n Specialist,Specialized & Emerging,3,5,4,4,41,75000,180000,rising,exposed
Power BI Developer,Data & AI,4,3,5,5,40,75000,180000,stable,at_risk
Senior Data Analyst,Data & AI,4,3,5,5,40,80000,190000,declining,at_risk
Tableau Developer,Data & AI,4,3,5,5,40,75000,180000,declining,at_risk
IT Support Engineer,Platform & Infrastructure,4,4,4,4,40,55000,130000,declining,at_risk
UI Designer,Product & Design,4,3,5,5,40,75000,190000,declining,at_risk
QA Automation,Quality & Testing,4,3,5,5,40,70000,170000,declining,at_risk
UI / Web Test Engineer,Quality & Testing,4,3,5,5,40,75000,180000,declining,at_risk
Tier 2 Technical Support Engineer,Specialized & Emerging,4,4,4,4,40,60000,140000,declining,at_risk
WordPress Developer,Specialized & Emerging,4,4,4,4,40,70000,180000,stable,at_risk
Business Analyst,Data & AI,4,3,4,5,39,70000,160000,declining,at_risk
Marketing Analyst,Data & AI,4,3,4,5,39,65000,150000,declining,at_risk
Childcare Tech Engineer,Engineering,2,5,5,4,39,80000,200000,stable,at_risk
NFT Platform Engineer,Engineering,2,5,6,3,39,80000,200000,declining,at_risk
Pet Tech Engineer,Engineering,2,5,5,4,39,80000,200000,stable,at_risk
Preact Engineer,Engineering,2,5,5,4,39,80000,200000,stable,at_risk
Appium Engineer,Quality & Testing,3,4,5,4,39,80000,190000,stable,at_risk
SEM / Paid Search Engineer,Specialized & Emerging,3,4,5,4,39,85000,210000,stable,at_risk
SharePoint Developer,Specialized & Emerging,3,4,5,4,39,85000,200000,declining,at_risk
BI Analyst,Data & AI,4,3,4,4,37,70000,160000,declining,at_risk
HTML / CSS Specialist,Engineering,4,3,4,4,37,65000,150000,declining,at_risk
Marketing Designer,Product & Design,3,4,4,4,37,70000,170000,declining,at_risk
Drupal Developer,Specialized & Emerging,2,5,5,3,37,80000,190000,declining,at_risk
Freshworks Developer,Specialized & Emerging,3,4,4,4,37,80000,180000,stable,at_risk
HubSpot Developer,Specialized & Emerging,3,4,4,4,37,80000,190000,stable,at_risk
Intercom / Help Desk Developer,Specialized & Emerging,3,4,4,4,37,80000,180000,stable,at_risk
Marketo Developer,Specialized & Emerging,3,4,4,4,37,80000,190000,stable,at_risk
WooCommerce Developer,Specialized & Emerging,3,4,4,4,37,75000,180000,stable,at_risk
Zapier Specialist,Specialized & Emerging,3,4,4,4,37,70000,170000,stable,at_risk
Zendesk Developer,Specialized & Emerging,3,4,4,4,37,80000,180000,stable,at_risk
Backbone.js Maintainer,Engineering,1,5,6,3,36,75000,190000,declining,at_risk
CodeIgniter Engineer,Engineering,2,4,5,4,36,70000,170000,declining,at_risk
Pascal / Delphi Engineer,Engineering,1,5,6,3,36,75000,180000,declining,at_risk
Qlik Developer,Data & AI,3,3,5,4,35,75000,170000,declining,at_risk
Help Desk Tier 2,Platform & Infrastructure,4,3,3,4,35,55000,110000,declining,at_risk
Selenium Engineer,Quality & Testing,3,3,5,4,35,75000,180000,declining,at_risk
No-code Developer / Maker,Specialized & Emerging,4,3,3,4,35,65000,170000,stable,at_risk
Sigma / ThoughtSpot Developer,Data & AI,2,4,5,3,34,80000,190000,stable,at_risk
Alpine.js Engineer,Engineering,2,4,4,4,34,75000,180000,stable,at_risk
KaiOS Engineer,Engineering,1,5,5,3,34,75000,180000,declining,at_risk
PowerBuilder Maintainer,Engineering,1,5,6,2,34,70000,160000,declining,at_risk
Visual Basic / VB.NET Maintainer,Engineering,2,4,5,3,34,75000,170000,declining,at_risk
Data Analyst,Data & AI,4,2,4,4,33,65000,160000,declining,at_risk
Pardot Developer,Specialized & Emerging,2,4,4,3,32,75000,180000,declining,at_risk
QA Manual Lead,Quality & Testing,2,3,4,4,31,70000,160000,declining,at_risk
MicroStrategy Developer,Data & AI,2,3,5,3,30,75000,170000,declining,at_risk
Game QA Tester,Engineering,3,3,3,3,30,50000,110000,declining,at_risk
Desktop Support,Platform & Infrastructure,3,3,3,3,30,50000,110000,declining,at_risk
Domo Developer,Data & AI,2,3,4,3,29,75000,170000,declining,at_risk
Mode Analytics Developer,Data & AI,2,3,4,3,29,80000,180000,stable,at_risk
ColdFusion Maintainer,Engineering,1,4,5,2,29,70000,160000,declining,at_risk
jQuery Maintainer,Engineering,2,3,4,3,29,65000,160000,declining,at_risk
Prompt Engineer,Data & AI,3,2,3,3,27,80000,180000,declining,at_risk
Help Desk Tier 1,Platform & Infrastructure,3,2,2,3,25,40000,90000,declining,at_risk
QA Manual,Quality & Testing,2,1,3,3,20,50000,130000,declining,at_risk
