role,category,score,tier,postings_2yr_pct,ai_mention_pct_2026,ai_mention_delta_pp,ai_impact_bucket
Senior Technical Writer,Specialized & Emerging,54,exposed,0.0,0,0,stable
ServiceNow Developer,Specialized & Emerging,54,exposed,0.0,0,0,stable
IT Manager,Platform & Infrastructure,53,exposed,0.0,0,0,stable
ELT Engineer,Data & AI,52,exposed,0.0,0,0,stable
Godot Engineer,Engineering,52,exposed,0.0,0,0,stable
VSCode Extension Developer,Engineering,52,exposed,0.0,0,0,stable
Vercel / Netlify Specialist,Platform & Infrastructure,52,exposed,0.0,0,0,stable
3D Designer,Product & Design,52,exposed,0.0,0,0,stable
Test Environment Engineer,Quality & Testing,52,exposed,0.0,0,0,stable
MuleSoft Engineer,Specialized & Emerging,52,exposed,0.0,0,0,stable
Power Platform Developer,Specialized & Emerging,52,exposed,0.0,0,0,stable
Salesforce CPQ Developer,Specialized & Emerging,52,exposed,0.0,0,0,stable
Workday Developer,Specialized & Emerging,52,exposed,0.0,0,0,stable
AS/400 / RPG Developer,Engineering,51,exposed,0.0,0,0,stable
Android TV Engineer,Engineering,51,exposed,0.0,0,0,stable
Crystal Engineer,Engineering,51,exposed,0.0,0,0,stable
D Lang Engineer,Engineering,51,exposed,0.0,0,0,stable
Deno Engineer,Engineering,51,exposed,0.0,0,0,stable
HTMX Engineer,Engineering,51,exposed,0.0,0,0,stable
Nim Engineer,Engineering,51,exposed,0.0,0,0,stable
Wear OS Engineer,Engineering,51,exposed,0.0,0,0,stable
Web Components / Lit Engineer,Engineering,51,exposed,0.0,0,0,stable
Xamarin / .NET MAUI Engineer,Engineering,51,exposed,0.0,0,0,stable
iPadOS Engineer,Engineering,51,exposed,0.0,0,0,stable
watchOS Engineer,Engineering,51,exposed,0.0,0,0,stable
IBM Cloud Engineer,Platform & Infrastructure,51,exposed,0.0,0,0,stable
Community Manager (Technical),Specialized & Emerging,51,exposed,0.0,0,0,stable
Twilio Engineer,Specialized & Emerging,51,exposed,0.0,0,0,stable
Customer Support Engineer,Specialized & Emerging,50,exposed,0.0,0,0,stable
Data Annotation Engineer,Data & AI,49,exposed,0.0,0,0,stable
Scikit-learn Specialist,Data & AI,49,exposed,0.0,0,0,stable
Browser Extension Engineer,Engineering,49,exposed,0.0,0,0,stable
CSS Architect (Sass/Tailwind),Engineering,49,exposed,0.0,0,0,stable
Esports Platform Engineer,Engineering,49,exposed,0.0,0,0,stable
Food Tech Engineer,Engineering,49,exposed,0.0,0,0,stable
Full-Stack Ruby Engineer,Engineering,49,exposed,0.0,0,0,stable
JAMstack Engineer,Engineering,49,exposed,0.0,0,0,stable
JCL Developer,Engineering,49,exposed,0.0,0,0,stable
Junior Android Engineer,Engineering,49,exposed,0.0,0,0,stable
Junior iOS Engineer,Engineering,49,exposed,0.0,0,0,stable
MEAN Stack Engineer,Engineering,49,exposed,0.0,0,0,stable
Remix Engineer,Engineering,49,exposed,0.0,0,0,stable
Sinatra / Hanami Engineer,Engineering,49,exposed,0.0,0,0,stable
Sports Tech Engineer,Engineering,49,exposed,0.0,0,0,stable
Svelte Engineer,Engineering,49,exposed,0.0,0,0,stable
Symfony Engineer,Engineering,49,exposed,0.0,0,0,stable
Tornado Backend Engineer,Engineering,49,exposed,0.0,0,0,stable
Couchbase Engineer,Platform & Infrastructure,49,exposed,0.0,0,0,stable
Fly.io / Render Specialist,Platform & Infrastructure,49,exposed,0.0,0,0,stable
Sysadmin / System Administrator,Platform & Infrastructure,49,exposed,0.0,0,0,stable
Vertica / Teradata Engineer,Platform & Infrastructure,49,exposed,0.0,0,0,stable
Windows Sysadmin,Platform & Infrastructure,49,exposed,0.0,0,0,stable
Apex Developer,Specialized & Emerging,49,exposed,0.0,0,0,stable
Atlassian Developer (Jira/Confluence),Specialized & Emerging,49,exposed,0.0,0,0,stable
Microsoft Dynamics Developer,Specialized & Emerging,49,exposed,0.0,0,0,stable
NetSuite Developer,Specialized & Emerging,49,exposed,0.0,0,0,stable
Release Train Engineer (SAFe),Specialized & Emerging,49,exposed,0.0,0,0,stable
SEO Engineer (Technical),Specialized & Emerging,49,exposed,0.0,0,0,stable
BI Developer,Data & AI,47,exposed,0.0,0,0,stable
Cohere / Mistral API Engineer,Data & AI,47,exposed,0.0,0,0,stable
Statistical Programmer (SAS/R),Data & AI,47,exposed,0.0,0,0,stable
Astro Engineer,Engineering,47,exposed,0.0,0,0,stable
Game UI Programmer,Engineering,47,exposed,0.0,0,0,stable
Junior Full-Stack Engineer,Engineering,47,exposed,0.0,0,0,stable
Localization (l10n) Engineer,Engineering,47,exposed,0.0,0,0,stable
Vue Engineer,Engineering,47,exposed,0.0,0,0,stable
IT Operations Engineer,Platform & Infrastructure,47,exposed,0.0,0,0,stable
M365 / Google Workspace Admin,Platform & Infrastructure,47,exposed,0.0,0,0,stable
Content Designer / UX Writer,Product & Design,47,exposed,0.0,0,0,stable
Motion Designer,Product & Design,47,exposed,0.0,0,0,stable
API Documentation Specialist,Specialized & Emerging,47,exposed,0.0,0,0,stable
Marketing Automation Engineer,Specialized & Emerging,47,exposed,0.0,0,0,stable
Mixpanel / Amplitude / Heap Engineer,Specialized & Emerging,47,exposed,0.0,0,0,stable
Power BI Specialist,Specialized & Emerging,47,exposed,0.0,0,0,stable
RPA Engineer (UiPath/Power Automate),Specialized & Emerging,47,exposed,0.0,0,0,stable
Salesforce Marketing Cloud Developer,Specialized & Emerging,47,exposed,0.0,0,0,stable
Scrum Master / Agile Coach,Specialized & Emerging,47,exposed,0.0,0,0,stable
Segment / Rudderstack Engineer,Specialized & Emerging,47,exposed,0.0,0,0,stable
Shopify App Developer,Specialized & Emerging,47,exposed,0.0,0,0,stable
Technical Writer,Specialized & Emerging,47,exposed,0.0,0,0,stable
SSIS / SQL Server Integration Engineer,Data & AI,46,exposed,0.0,0,0,stable
BPM / Workflow Engineer,Engineering,46,exposed,0.0,0,0,stable
DAO Tooling Engineer,Engineering,46,exposed,0.0,0,0,stable
PWA Engineer,Engineering,46,exposed,0.0,0,0,stable
SolidJS Engineer,Engineering,46,exposed,0.0,0,0,stable
tvOS Engineer,Engineering,46,exposed,0.0,0,0,stable
Oracle ERP Developer,Specialized & Emerging,46,exposed,0.0,0,0,stable
Hadoop Engineer,Data & AI,45,exposed,0.0,0,0,stable
Marketing Data Scientist,Data & AI,45,exposed,0.0,0,0,stable
Senior UI Designer,Product & Design,45,exposed,0.0,0,0,stable
Senior QA Automation,Quality & Testing,45,exposed,0.0,0,0,stable
SOC Analyst (Tier 1),Security,45,exposed,0.0,0,0,stable
Power Apps Developer,Specialized & Emerging,45,exposed,0.0,0,0,stable
Salesforce Administrator,Specialized & Emerging,45,exposed,0.0,0,0,stable
ETL Developer,Data & AI,44,exposed,0.0,0,0,stable
Growth Analyst,Data & AI,44,exposed,0.0,0,0,stable
Informatica Engineer,Data & AI,44,exposed,0.0,0,0,stable
Looker / LookML Developer,Data & AI,44,exposed,0.0,0,0,stable
Product Analyst,Data & AI,44,exposed,0.0,0,0,stable
ESB / Service Bus Engineer,Engineering,44,exposed,0.0,0,0,stable
LAMP Stack Engineer,Engineering,44,exposed,0.0,0,0,stable
Nuxt Engineer,Engineering,44,exposed,0.0,0,0,stable
Restaurant / Hospitality Tech Engineer,Engineering,44,exposed,0.0,0,0,stable
Tizen Engineer,Engineering,44,exposed,0.0,0,0,stable
DigitalOcean Specialist,Platform & Infrastructure,44,exposed,0.0,0,0,stable
Brand Designer,Product & Design,44,exposed,0.0,0,0,stable
Visual Designer,Product & Design,44,exposed,0.0,0,0,stable
Cypress Engineer,Quality & Testing,44,exposed,0.0,0,0,stable
Mobile QA Engineer,Quality & Testing,44,exposed,0.0,0,0,stable
Boomi Engineer,Specialized & Emerging,44,exposed,0.0,0,0,stable
Conversion Rate Optimization Engineer,Specialized & Emerging,44,exposed,0.0,0,0,stable
Magento / Adobe Commerce Developer,Specialized & Emerging,44,exposed,0.0,0,0,stable
SAP Fiori / UI5 Developer,Specialized & Emerging,44,exposed,0.0,0,0,stable
Square / Block Integration Engineer,Specialized & Emerging,44,exposed,0.0,0,0,stable
Junior Frontend Engineer,Engineering,43,exposed,0.0,0,0,stable
Fivetran / Stitch Specialist,Data & AI,42,exposed,0.0,0,0,stable
Admin Panel Engineer,Engineering,42,exposed,0.0,0,0,stable
Fitness / Wellness Tech Engineer,Engineering,42,exposed,0.0,0,0,stable
Ionic / Cordova Engineer,Engineering,42,exposed,0.0,0,0,stable
Perl Engineer,Engineering,42,exposed,0.0,0,0,stable
Collaboration Tools Engineer (Slack/Teams),Platform & Infrastructure,42,exposed,0.0,0,0,stable
Heroku Specialist,Platform & Infrastructure,42,exposed,0.0,0,0,stable
Game QA Lead,Quality & Testing,42,exposed,0.0,0,0,stable
Localization QA Engineer,Quality & Testing,42,exposed,0.0,0,0,stable
BigCommerce Developer,Specialized & Emerging,42,exposed,0.0,0,0,stable
Low-code Developer,Specialized & Emerging,42,exposed,0.0,0,0,stable
SendGrid / Mailgun Engineer,Specialized & Emerging,42,exposed,0.0,0,0,stable
Tray.io / iPaaS Engineer,Specialized & Emerging,42,exposed,0.0,0,0,stable
Workato Engineer,Specialized & Emerging,42,exposed,0.0,0,0,stable
Talend Engineer,Data & AI,41,exposed,0.0,0,0,stable
Ember.js Engineer,Engineering,41,exposed,0.0,0,0,stable
Stencil Engineer,Engineering,41,exposed,0.0,0,0,stable
IT Asset Manager,Platform & Infrastructure,41,exposed,0.0,0,0,stable
Citizen Developer Coach,Specialized & Emerging,41,exposed,0.0,0,0,stable
Make.com / n8n Specialist,Specialized & Emerging,41,exposed,0.0,0,0,stable
Power BI Developer,Data & AI,40,at_risk,0.0,0,0,stable
Senior Data Analyst,Data & AI,40,at_risk,0.0,0,0,stable
Tableau Developer,Data & AI,40,at_risk,0.0,0,0,stable
IT Support Engineer,Platform & Infrastructure,40,at_risk,0.0,0,0,stable
UI / Web Test Engineer,Quality & Testing,40,at_risk,0.0,0,0,stable
Tier 2 Technical Support Engineer,Specialized & Emerging,40,at_risk,0.0,0,0,stable
WordPress Developer,Specialized & Emerging,40,at_risk,0.0,0,0,stable
Business Analyst,Data & AI,39,at_risk,0.0,0,0,stable
Marketing Analyst,Data & AI,39,at_risk,0.0,0,0,stable
Childcare Tech Engineer,Engineering,39,at_risk,0.0,0,0,stable
NFT Platform Engineer,Engineering,39,at_risk,0.0,0,0,stable
Pet Tech Engineer,Engineering,39,at_risk,0.0,0,0,stable
Preact Engineer,Engineering,39,at_risk,0.0,0,0,stable
Appium Engineer,Quality & Testing,39,at_risk,0.0,0,0,stable
SEM / Paid Search Engineer,Specialized & Emerging,39,at_risk,0.0,0,0,stable
SharePoint Developer,Specialized & Emerging,39,at_risk,0.0,0,0,stable
BI Analyst,Data & AI,37,at_risk,0.0,0,0,stable
HTML / CSS Specialist,Engineering,37,at_risk,0.0,0,0,stable
Marketing Designer,Product & Design,37,at_risk,0.0,0,0,stable
Drupal Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Freshworks Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
HubSpot Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Intercom / Help Desk Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Marketo Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
WooCommerce Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Zapier Specialist,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Zendesk Developer,Specialized & Emerging,37,at_risk,0.0,0,0,stable
Backbone.js Maintainer,Engineering,36,at_risk,0.0,0,0,stable
CodeIgniter Engineer,Engineering,36,at_risk,0.0,0,0,stable
Pascal / Delphi Engineer,Engineering,36,at_risk,0.0,0,0,stable
Qlik Developer,Data & AI,35,at_risk,0.0,0,0,stable
Help Desk Tier 2,Platform & Infrastructure,35,at_risk,0.0,0,0,stable
Selenium Engineer,Quality & Testing,35,at_risk,0.0,0,0,stable
No-code Developer / Maker,Specialized & Emerging,35,at_risk,0.0,0,0,stable
Sigma / ThoughtSpot Developer,Data & AI,34,at_risk,0.0,0,0,stable
Alpine.js Engineer,Engineering,34,at_risk,0.0,0,0,stable
KaiOS Engineer,Engineering,34,at_risk,0.0,0,0,stable
PowerBuilder Maintainer,Engineering,34,at_risk,0.0,0,0,stable
Visual Basic / VB.NET Maintainer,Engineering,34,at_risk,0.0,0,0,stable
Pardot Developer,Specialized & Emerging,32,at_risk,0.0,0,0,stable
QA Manual Lead,Quality & Testing,31,at_risk,0.0,0,0,stable
MicroStrategy Developer,Data & AI,30,at_risk,0.0,0,0,stable
Game QA Tester,Engineering,30,at_risk,0.0,0,0,stable
Desktop Support,Platform & Infrastructure,30,at_risk,0.0,0,0,stable
Domo Developer,Data & AI,29,at_risk,0.0,0,0,stable
Mode Analytics Developer,Data & AI,29,at_risk,0.0,0,0,stable
ColdFusion Maintainer,Engineering,29,at_risk,0.0,0,0,stable
jQuery Maintainer,Engineering,29,at_risk,0.0,0,0,stable
Help Desk Tier 1,Platform & Infrastructure,25,at_risk,0.0,0,0,stable
