role,category,tc_low_canonical_usd,tc_high_canonical_usd,tc_low_glassdoor_simulated_usd,tc_high_glassdoor_simulated_usd,base_low_glassdoor_simulated_usd,base_high_glassdoor_simulated_usd,sample_size_simulated,levels_fyi_anchor_role,levels_fyi_anchor_median_usd
Power BI Specialist,Specialized & Emerging,85000,200000,,,,,,,
RPA Engineer (UiPath/Power Automate),Specialized & Emerging,80000,200000,,,,,,,
Salesforce Marketing Cloud Developer,Specialized & Emerging,95000,220000,,,,,,,
Scrum Master / Agile Coach,Specialized & Emerging,80000,180000,,,,,,,
Segment / Rudderstack Engineer,Specialized & Emerging,100000,240000,,,,,,,
Shopify App Developer,Specialized & Emerging,80000,200000,,,,,,,
Technical Writer,Specialized & Emerging,70000,170000,,,,,,,
SSIS / SQL Server Integration Engineer,Data & AI,85000,210000,,,,,,,
BPM / Workflow Engineer,Engineering,95000,220000,,,,,,,
DAO Tooling Engineer,Engineering,90000,230000,,,,,,,
PWA Engineer,Engineering,90000,220000,,,,,,,
SolidJS Engineer,Engineering,90000,220000,,,,,,,
tvOS Engineer,Engineering,95000,230000,,,,,,,
Oracle ERP Developer,Specialized & Emerging,95000,220000,,,,,,,
Hadoop Engineer,Data & AI,95000,230000,,,,,,,
Marketing Data Scientist,Data & AI,100000,220000,,,,,,,
Senior UI Designer,Product & Design,95000,220000,,,,,,,
Senior QA Automation,Quality & Testing,90000,200000,,,,,,,
SOC Analyst (Tier 1),Security,60000,130000,,,,,,,
Power Apps Developer,Specialized & Emerging,85000,210000,,,,,,,
Salesforce Administrator,Specialized & Emerging,75000,170000,,,,,,,
ETL Developer,Data & AI,80000,200000,,,,,,,
Growth Analyst,Data & AI,80000,200000,,,,,,,
Informatica Engineer,Data & AI,90000,210000,,,,,,,
Looker / LookML Developer,Data & AI,90000,210000,,,,,,,
Product Analyst,Data & AI,80000,190000,,,,,,,
ESB / Service Bus Engineer,Engineering,95000,220000,,,,,,,
LAMP Stack Engineer,Engineering,75000,190000,,,,,,,
Nuxt Engineer,Engineering,85000,220000,,,,,,,
Restaurant / Hospitality Tech Engineer,Engineering,80000,210000,,,,,,,
Tizen Engineer,Engineering,90000,210000,,,,,,,
DigitalOcean Specialist,Platform & Infrastructure,85000,210000,,,,,,,
Brand Designer,Product & Design,80000,200000,,,,,,,
Visual Designer,Product & Design,75000,190000,,,,,,,
Cypress Engineer,Quality & Testing,85000,200000,,,,,,,
Mobile QA Engineer,Quality & Testing,75000,180000,,,,,,,
Boomi Engineer,Specialized & Emerging,100000,230000,,,,,,,
Conversion Rate Optimization Engineer,Specialized & Emerging,90000,220000,,,,,,,
Magento / Adobe Commerce Developer,Specialized & Emerging,85000,210000,,,,,,,
SAP Fiori / UI5 Developer,Specialized & Emerging,95000,220000,,,,,,,
Square / Block Integration Engineer,Specialized & Emerging,90000,220000,,,,,,,
Junior Frontend Engineer,Engineering,60000,110000,,,,,,,
Fivetran / Stitch Specialist,Data & AI,85000,200000,,,,,,,
Admin Panel Engineer,Engineering,80000,200000,,,,,,,
Fitness / Wellness Tech Engineer,Engineering,85000,210000,,,,,,,
Ionic / Cordova Engineer,Engineering,80000,200000,,,,,,,
Perl Engineer,Engineering,80000,200000,,,,,,,
Collaboration Tools Engineer (Slack/Teams),Platform & Infrastructure,80000,190000,,,,,,,
Heroku Specialist,Platform & Infrastructure,80000,200000,,,,,,,
Game QA Lead,Quality & Testing,70000,170000,,,,,,,
Localization QA Engineer,Quality & Testing,75000,180000,,,,,,,
BigCommerce Developer,Specialized & Emerging,85000,200000,,,,,,,
Low-code Developer,Specialized & Emerging,75000,190000,,,,,,,
SendGrid / Mailgun Engineer,Specialized & Emerging,90000,210000,,,,,,,
Tray.io / iPaaS Engineer,Specialized & Emerging,90000,210000,,,,,,,
Workato Engineer,Specialized & Emerging,90000,220000,,,,,,,
Talend Engineer,Data & AI,85000,200000,,,,,,,
Ember.js Engineer,Engineering,85000,210000,,,,,,,
Stencil Engineer,Engineering,85000,200000,,,,,,,
IT Asset Manager,Platform & Infrastructure,75000,180000,,,,,,,
Citizen Developer Coach,Specialized & Emerging,80000,190000,,,,,,,
Make.com / n8n Specialist,Specialized & Emerging,75000,180000,,,,,,,
Power BI Developer,Data & AI,75000,180000,,,,,,,
Senior Data Analyst,Data & AI,80000,190000,,,,,,,
Tableau Developer,Data & AI,75000,180000,,,,,,,
IT Support Engineer,Platform & Infrastructure,55000,130000,,,,,,,
UI Designer,Product & Design,75000,190000,75000,190000,110000,160000,860,,
QA Automation,Quality & Testing,70000,170000,70000,170000,100000,150000,1410,,
UI / Web Test Engineer,Quality & Testing,75000,180000,,,,,,,
Tier 2 Technical Support Engineer,Specialized & Emerging,60000,140000,,,,,,,
WordPress Developer,Specialized & Emerging,70000,180000,,,,,,,
Business Analyst,Data & AI,70000,160000,,,,,,,
Marketing Analyst,Data & AI,65000,150000,,,,,,,
Childcare Tech Engineer,Engineering,80000,200000,,,,,,,
NFT Platform Engineer,Engineering,80000,200000,,,,,,,
Pet Tech Engineer,Engineering,80000,200000,,,,,,,
Preact Engineer,Engineering,80000,200000,,,,,,,
Appium Engineer,Quality & Testing,80000,190000,,,,,,,
SEM / Paid Search Engineer,Specialized & Emerging,85000,210000,,,,,,,
SharePoint Developer,Specialized & Emerging,85000,200000,,,,,,,
BI Analyst,Data & AI,70000,160000,,,,,,,
HTML / CSS Specialist,Engineering,65000,150000,,,,,,,
Marketing Designer,Product & Design,70000,170000,,,,,,,
Drupal Developer,Specialized & Emerging,80000,190000,,,,,,,
Freshworks Developer,Specialized & Emerging,80000,180000,,,,,,,
HubSpot Developer,Specialized & Emerging,80000,190000,,,,,,,
Intercom / Help Desk Developer,Specialized & Emerging,80000,180000,,,,,,,
Marketo Developer,Specialized & Emerging,80000,190000,,,,,,,
WooCommerce Developer,Specialized & Emerging,75000,180000,,,,,,,
Zapier Specialist,Specialized & Emerging,70000,170000,,,,,,,
Zendesk Developer,Specialized & Emerging,80000,180000,,,,,,,
Backbone.js Maintainer,Engineering,75000,190000,,,,,,,
CodeIgniter Engineer,Engineering,70000,170000,,,,,,,
Pascal / Delphi Engineer,Engineering,75000,180000,,,,,,,
Qlik Developer,Data & AI,75000,170000,,,,,,,
Help Desk Tier 2,Platform & Infrastructure,55000,110000,,,,,,,
Selenium Engineer,Quality & Testing,75000,180000,,,,,,,
No-code Developer / Maker,Specialized & Emerging,65000,170000,,,,,,,
Sigma / ThoughtSpot Developer,Data & AI,80000,190000,,,,,,,
Alpine.js Engineer,Engineering,75000,180000,,,,,,,
KaiOS Engineer,Engineering,75000,180000,,,,,,,
PowerBuilder Maintainer,Engineering,70000,160000,,,,,,,
Visual Basic / VB.NET Maintainer,Engineering,75000,170000,,,,,,,
Data Analyst,Data & AI,65000,160000,65000,160000,90000,135000,2380,,
Pardot Developer,Specialized & Emerging,75000,180000,,,,,,,
QA Manual Lead,Quality & Testing,70000,160000,,,,,,,
MicroStrategy Developer,Data & AI,75000,170000,,,,,,,
Game QA Tester,Engineering,50000,110000,,,,,,,
Desktop Support,Platform & Infrastructure,50000,110000,,,,,,,
Domo Developer,Data & AI,75000,170000,,,,,,,
Mode Analytics Developer,Data & AI,80000,180000,,,,,,,
ColdFusion Maintainer,Engineering,70000,160000,,,,,,,
jQuery Maintainer,Engineering,65000,160000,,,,,,,
Prompt Engineer,Data & AI,80000,180000,80000,180000,110000,150000,180,,
Help Desk Tier 1,Platform & Infrastructure,40000,90000,,,,,,,
QA Manual,Quality & Testing,50000,130000,50000,130000,75000,110000,1620,,
